Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
54,Food Industry Capacity and Skill Initiative,Traditional Snacks and Savoury Maker,"Paid, Rs.100",04:00 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"This course encompasses National Occupational Standards (NOS) of 'Traditional Snack and Savoury' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A traditional snacks and savory maker course can provide learners with a variety of outcomes. Some potential outcomes include knowledge of traditional snacks and the associated processing methods. Participants will gain a deep understanding of various traditional snacks and savory dishes from different cultures. They will learn about the ingredients, techniques, and flavors associated with these snacks.",https://www.skillindiadigital.gov.in/courses/detail/33a0028c-746f-474a-a4fa-70937b2cdb3a,null,null,null,null,null,null,null,null,null,,null
55,Food Industry Capacity and Skill Initiative,Rice Fortification - Hindi,"Paid, Rs.200",00:23 hours,Min 18,"12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,Hindi,"This course encompasses National Occupational Standards (NOS) of 'Fortified Rice Technician' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A course on rice fortification aims to educate participants about the process and benefits of fortifying rice with essential nutrients. Participants will gain a comprehensive understanding of the significance of rice fortification in addressing nutrient deficiencies, particularly in regions where rice is a staple food.",https://www.skillindiadigital.gov.in/courses/detail/e5aee100-24ff-498b-acf4-d2c4ee560bfa,null,null,null,null,null,null,null,null,null,,null
56,Food Industry Capacity and Skill Initiative,"Jam, Jelly and Ketchup Processing Technician","Paid, Rs.100",04:01 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"This course encompasses National Occupational Standards (NOS) of 'Jam Jelly and Ketchup Processing Technician NSQF Level 3' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). The course outcome for a Jam, Jelly, and Ketchup Processing Technician include the understanding of Food Safety and Quality Standards. Students will learn about the importance of maintaining high standards of food safety and quality in the processing of jam, jelly, and ketchup products.",https://www.skillindiadigital.gov.in/courses/detail/ecf2ed16-115e-44a8-a817-ec6e1346be1a,null,null,null,null,null,null,null,null,null,,null
57,Food Industry Capacity and Skill Initiative,FoSTaC - Basic Retail and Distribution,"Paid, Rs.100",01:10 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"The Food Safety Supervisor - Retail and Distribution Basic Level I course provides participants with essential knowledge and skills related to food safety in the retail and distribution sectors. The course aims to equip individuals with the necessary understanding of food safety principles, regulations, and best practices to ensure the delivery of safe and high-quality food to consumers. Upon completion of the course, participants can expect to achieve the outcomes such as knowledge of Food Safety, regulatory compliance protocols, risk assessment and management.",https://www.skillindiadigital.gov.in/courses/detail/71bd5b54-6a07-491c-be85-6ff649414e9c,null,null,null,null,null,null,null,null,null,,null
58,Food Industry Capacity and Skill Initiative,FoSTaC - Basic Manufacturing,"Paid, Rs.100",01:10 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"The Food Safety Supervisor - Basic Manufacturing Level I course provides participants with fundamental knowledge and skills related to food safety in a manufacturing setting. Upon completion of the course, participants can expect to achieve the outcomes such as Knowledge of Food Safety Legislation and Standards. Participants will become familiar with relevant food safety legislation, regulations, and standards applicable to food manufacturing. This includes an understanding of legal requirements, industry guidelines, and best practices for maintaining a safe food production environment.This course also comprises the understanding about implementation of Good Manufacturing Practices (GMPs), awareness of HACCP principles and reporting and documentation as per the SOPs.",https://www.skillindiadigital.gov.in/courses/detail/43c98220-675c-4284-b998-7bd3d413d724,null,null,null,null,null,null,null,null,null,,null
59,Green Jobs,Biomedical Waste Management-Nursing/Paramedical Staff,Free,001:45 hours,Above 18,No Formal Education required,NA,English,This training course is designed for Nurses and Paramedical staff who serves a critical role in healthcare settings. This specialized training equips them with the knowledge and skills needed to handle and dispose of medical waste safely and responsibly.,https://www.skillindiadigital.gov.in/courses/detail/72dc7e00-bb76-43f6-8fdf-2b0df58fcf8d,null,null,null,null,null,null,null,null,null,,null
60,Food Industry Capacity and Skill Initiative,FoSTaC - Advance Manufacturing Bakery Level 2,"Paid, Rs.100",01:10 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"The Food Safety Supervisor - Bakery Level II course aims to provide participants with an in-depth understanding of food safety principles and practices specific to bakery operations. Upon successful completion of the course, participants can expect to achieve the outcomes such as comprehensive knowledge of food safety regulations, understanding of foodborne illnesses and hazards, application of HACCP principles and Allergen management.",https://www.skillindiadigital.gov.in/courses/detail/1d77f86d-ffb9-4e4e-a03b-76764aeb2a62,null,null,null,null,null,null,null,null,null,,null
61,Food Industry Capacity and Skill Initiative,FoSTaC - Advance Manufacturing,"Paid, Rs.100",01:10 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",Na,English,"The Food Safety Supervisor - Advanced Manufacturing Level II course is designed to provide participants with an in-depth understanding of food safety practices and regulations specifically tailored to the manufacturing industry. Upon completing this course, participants gets the comprehensive knowledge of food safety regulations and proficiency in food safety management systems.After completing the course participants will gain a thorough understanding of the food safety regulations applicable to the manufacturing sector.Participants will gain advanced knowledge of food hygiene practices specific to manufacturing settings. They will learn about proper cleaning and sanitization procedures, pest control measures, and the importance of maintaining hygienic conditions throughout the facility.",https://www.skillindiadigital.gov.in/courses/detail/64f19f0e-0f1c-4c70-8088-96d291255095,null,null,null,null,null,null,null,null,null,,null
62,Food Industry Capacity and Skill Initiative,Fish and Sea Food Processing Technician - Hindi,"Paid, Rs.100",04:01 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,Hindi,"This course encompasses National Occupational Standards (NOS) of 'Fish and Seafood processing' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A fish and seafood processing technician course is a program designed to provide students with the knowledge and skills required to work in the fish and seafood processing industry. This course typically covers various aspects of fish and seafood processing, including handling, storage, processing techniques, quality control, and safety procedures.",https://www.skillindiadigital.gov.in/courses/detail/a265bdd8-9c74-49cb-8fce-a8ea5a35a0fc,null,null,null,null,null,null,null,null,null,,null
63,Food Industry Capacity and Skill Initiative,Fish and Sea Food Processing Technician,"Paid, Rs.100",04:01 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,"This course encompasses National Occupational Standards (NOS) of 'Fish and Seafood processing' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A fish and seafood processing technician course is a program designed to provide students with the knowledge and skills required to work in the fish and seafood processing industry. This course typically covers various aspects of fish and seafood processing, including handling, storage, processing techniques, quality control, and safety procedures.",https://www.skillindiadigital.gov.in/courses/detail/836c49ef-dbbc-4109-aff4-e2609799b0fe,null,null,null,null,null,null,null,null,null,,null
